date,Jason Black
2004-01-01,71
2004-02-01,58
2004-03-01,56
2004-04-01,50
2004-05-01,54
2004-06-01,44
2004-07-01,48
2004-08-01,39
2004-09-01,49
2004-10-01,42
2004-11-01,24
2004-12-01,37
2005-01-01,40
2005-02-01,45
2005-03-01,45
2005-04-01,41
2005-05-01,39
2005-06-01,42
2005-07-01,50
2005-08-01,43
2005-09-01,40
2005-10-01,57
2005-11-01,38
2005-12-01,45
2006-01-01,38
2006-02-01,50
2006-03-01,38
2006-04-01,39
2006-05-01,39
2006-06-01,50
2006-07-01,36
2006-08-01,42
2006-09-01,28
2006-10-01,33
2006-11-01,28
2006-12-01,38
2007-01-01,37
2007-02-01,37
2007-03-01,31
2007-04-01,36
2007-05-01,35
2007-06-01,41
2007-07-01,41
2007-08-01,35
2007-09-01,39
2007-10-01,50
2007-11-01,43
2007-12-01,41
2008-01-01,39
2008-02-01,53
2008-03-01,49
2008-04-01,48
2008-05-01,44
2008-06-01,43
2008-07-01,45
2008-08-01,52
2008-09-01,46
2008-10-01,46
2008-11-01,57
2008-12-01,47
2009-01-01,52
2009-02-01,50
2009-03-01,53
2009-04-01,55
2009-05-01,58
2009-06-01,63
2009-07-01,61
2009-08-01,66
2009-09-01,59
2009-10-01,69
2009-11-01,84
2009-12-01,76
2010-01-01,80
2010-02-01,89
2010-03-01,87
2010-04-01,74
2010-05-01,74
2010-06-01,71
2010-07-01,71
2010-08-01,66
2010-09-01,55
2010-10-01,61
2010-11-01,80
2010-12-01,98
2011-01-01,82
2011-02-01,76
2011-03-01,75
2011-04-01,79
2011-05-01,74
2011-06-01,100
2011-07-01,74
2011-08-01,71
2011-09-01,60
2011-10-01,61
2011-11-01,71
2011-12-01,61
2012-01-01,64
2012-02-01,66
2012-03-01,61
2012-04-01,62
2012-05-01,61
2012-06-01,56
2012-07-01,63
2012-08-01,60
2012-09-01,56
2012-10-01,75
2012-11-01,76
2012-12-01,72
2013-01-01,61
2013-02-01,59
2013-03-01,57
2013-04-01,62
2013-05-01,67
2013-06-01,68
2013-07-01,75
2013-08-01,74
2013-09-01,66
2013-10-01,69
2013-11-01,70
2013-12-01,65
2014-01-01,62
2014-02-01,61
2014-03-01,61
2014-04-01,65
2014-05-01,70
2014-06-01,95
2014-07-01,89
2014-08-01,86
2014-09-01,72
2014-10-01,75
2014-11-01,73
2014-12-01,64
2015-01-01,64
2015-02-01,64
2015-03-01,66
2015-04-01,72
2015-05-01,69
2015-06-01,87
2015-07-01,77
2015-08-01,72
2015-09-01,67
2015-10-01,69
2015-11-01,78
2015-12-01,61
2016-01-01,67
2016-02-01,65
2016-03-01,62
2016-04-01,64
2016-05-01,64
2016-06-01,66
2016-07-01,72
2016-08-01,67
2016-09-01,66
2016-10-01,59
2016-11-01,68
2016-12-01,59
2017-01-01,62
2017-02-01,58
2017-03-01,54
2017-04-01,54
2017-05-01,57
2017-06-01,62
2017-07-01,63
2017-08-01,58
2017-09-01,59
2017-10-01,64
2017-11-01,69
2017-12-01,54
2018-01-01,60
2018-02-01,70
2018-03-01,61
2018-04-01,56
2018-05-01,56
2018-06-01,49
2018-07-01,59
2018-08-01,58
2018-09-01,54
2018-10-01,61
2018-11-01,65
2018-12-01,72
2019-01-01,65
2019-02-01,59
2019-03-01,55
2019-04-01,57
2019-05-01,51
2019-06-01,50
2019-07-01,53
2019-08-01,54
2019-09-01,49
2019-10-01,53
2019-11-01,63
2019-12-01,57
2020-01-01,57
2020-02-01,58
2020-03-01,47
2020-04-01,53
2020-05-01,59
2020-06-01,62
2020-07-01,59
2020-08-01,65
2020-09-01,63
2020-10-01,56
2020-11-01,59
2020-12-01,50
2021-01-01,51
2021-02-01,54
2021-03-01,50
2021-04-01,51
2021-05-01,52
2021-06-01,51
2021-07-01,57
2021-08-01,55
2021-09-01,49
2021-10-01,59
2021-11-01,63
2021-12-01,45
2022-01-01,66
2022-02-01,52
2022-03-01,65
2022-04-01,49
2022-05-01,55
2022-06-01,47
2022-07-01,56
2022-08-01,55
2022-09-01,52
2022-10-01,62
2022-11-01,75
2022-12-01,55
2023-01-01,52
2023-02-01,56
2023-03-01,47
2023-04-01,53
2023-05-01,50
2023-06-01,52
2023-07-01,82
2023-08-01,54
2023-09-01,52
2023-10-01,62
2023-11-01,65
2023-12-01,49
2024-01-01,61
2024-02-01,62
2024-03-01,59
2024-04-01,57
2024-05-01,56
2024-06-01,65
2024-07-01,54
