deg,density,clustering,Ginni,pathLenght,betweenessCentrality,eigenvectorCentrality,PPVsales
0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,1.0,0.0,0.0,1.0,0.0,0.7071067811865475,
1.0,1.0,0.0,0.0,1.0,0.0,0.7071067811865475,
1.3333333333333333,0.6666666666666666,0.0,0.16666666666666666,1.3333333333333333,0.3333333333333333,0.5690356063072538,
1.3333333333333333,0.6666666666666666,0.0,0.16666666666666666,1.3333333333333333,0.3333333333333333,0.5690356063072538,
1.3333333333333333,0.6666666666666666,0.0,0.16666666666666666,1.3333333333333333,0.3333333333333333,0.5690356063072538,
1.3333333333333333,0.6666666666666666,0.0,0.16666666666666666,1.3333333333333333,0.3333333333333333,0.5690356063072538,
1.3333333333333333,0.6666666666666666,0.0,0.16666666666666666,1.3333333333333333,0.3333333333333333,0.5690356063072538,
1.3333333333333333,0.6666666666666666,0.0,0.16666666666666666,1.3333333333333333,0.3333333333333333,0.5690356063072538,
1.3333333333333333,0.6666666666666666,0.0,0.16666666666666666,1.3333333333333333,0.3333333333333333,0.5690356063072538,
1.5,0.5,0.0,0.25,1.5,0.25,0.48296289541914517,
1.5,0.5,0.0,0.25,1.5,0.25,0.48296289541914517,
1.5,0.5,0.0,0.25,1.5,0.25,0.48296289541914517,
1.5,0.5,0.0,0.25,1.5,0.25,0.48296289541914517,
1.5,0.5,0.0,0.25,1.5,0.25,0.48296289541914517,
1.5,0.5,0.0,0.25,1.5,0.25,0.48296289541914517,
1.5,0.5,0.0,0.25,1.5,0.25,0.48296289541914517,
1.5,0.5,0.0,0.25,1.5,0.25,0.48296289541914517,
1.5,0.5,0.0,0.25,1.5,0.25,0.48296289541914517,
1.5,0.5,0.0,0.25,1.5,0.25,0.48296289541914517,
1.3333333333333333,0.16666666666666666,0.0,0.2222222222222222,1.6,0.2,0.42426403914422683,
1.3333333333333333,0.16666666666666666,0.0,0.2222222222222222,1.6,0.2,0.42426403914422683,
1.3333333333333333,0.16666666666666666,0.0,0.2222222222222222,1.6,0.2,0.42426403914422683,
1.3333333333333333,0.16666666666666666,0.0,0.2222222222222222,1.6,0.2,0.42426403914422683,
1.2307692307692308,0.10256410256410256,0.0,0.17307692307692307,1.6,0.2,0.42426403914422683,
1.1666666666666667,0.10606060606060606,0.0,0.13095238095238096,1.5,0.25,0.48296289541914517,
1.1428571428571428,0.08791208791208792,0.0,0.11607142857142858,1.5,0.25,0.48296289541914517,
1.25,0.08333333333333333,0.0,0.16875,1.5,0.25,0.48296289541914517,
1.25,0.08333333333333333,0.0,0.16875,1.5,0.25,0.48296289541914517,
1.263157894736842,0.07017543859649122,0.0,0.17982456140350878,1.5,0.25,0.48296289541914517,
1.263157894736842,0.07017543859649122,0.0,0.17982456140350878,1.5,0.25,0.48296289541914517,
1.3043478260869565,0.05928853754940711,0.0,0.2028985507246377,1.6,0.2,0.42426403914422683,
1.3043478260869565,0.05928853754940711,0.0,0.2028985507246377,1.6,0.2,0.42426403914422683,
1.391304347826087,0.06324110671936758,0.0,0.24456521739130435,2.0357142857142856,0.17261904761904762,0.32201191894826253,
1.3636363636363635,0.06493506493506493,0.0,0.22727272727272727,2.0,0.19999999999999998,0.350527188461264,
1.3636363636363635,0.06493506493506493,0.0,0.22727272727272727,2.0,0.19999999999999998,0.350527188461264,
1.4166666666666667,0.06159420289855073,0.0,0.23774509803921567,2.25,0.20833333333333331,0.3228489673144779,75000.0
1.5,0.06521739130434782,0.0,0.2569444444444444,2.8727272727272726,0.20808080808080812,0.26669165465048966,70000.0
1.5,0.06521739130434782,0.0,0.2569444444444444,2.8727272727272726,0.20808080808080812,0.26669165465048966,70000.0
1.4615384615384615,0.05846153846153846,0.0,0.24898785425101214,2.8727272727272726,0.20808080808080812,0.26669165465048966,58333.333333333336
1.4615384615384615,0.05846153846153846,0.0,0.24898785425101214,2.8727272727272726,0.20808080808080812,0.26669165465048966,58333.333333333336
1.4615384615384615,0.05846153846153846,0.0,0.24898785425101214,2.8727272727272726,0.20808080808080812,0.26669165465048966,58333.333333333336
1.5555555555555556,0.05982905982905983,0.0,0.26807760141093473,2.9696969696969697,0.196969696969697,0.25900777198180985,57500.0
1.5333333333333334,0.052873563218390804,0.0,0.2608695652173913,2.9696969696969697,0.196969696969697,0.25900777198180985,56000.0
1.4814814814814814,0.05698005698005698,0.0,0.22407407407407406,2.8333333333333335,0.2619047619047619,0.30699971103275625,56000.0
1.5333333333333334,0.052873563218390804,0.0,0.2318840579710145,2.8333333333333335,0.2619047619047619,0.30699971103275625,56000.0
