date,rank
2016-07-11,8
2016-07-15,8
2016-07-27,8
2016-08-03,7
2016-08-09,6
2016-08-24,6
2016-08-31,6
2016-09-05,6
2016-09-14,7
2016-09-21,7
2016-09-26,7
2016-10-05,7
2016-10-12,7
2016-11-07,7
