Fighter
Shane Burgos
Ian Heinisch
Aleksandar Rakić
Song Yadong
Arnold Allen
Mark De La Rosa
Ryan Hall
Omari Akhmedov
Edmen Shahbazyan
Maurice Greene
Askar Askarov
Gilbert Burns
Sergei Pavlovich
Serghei Spivac
Marlon Vera
Jairzinho Rozenstruik
Li Jingliang
Ciryl Gane
Sodiq Yusuff
Diego Ferreira
Raoni Barcelos
Tyson Nam
Magomed Ankalaev
David Dvorak
Dan Ige
Ryan Spann
Drew Dober
Brandon Royval
Sean O'Malley
Marvin Vettori
Merab Dvalishvili
Jiří Procházka
Amir Albazi
Paul Craig
Bryce Mitchell
Tanner Boser
Jimmy Crute
Belal Muhammad
Khamzat Chimaev
Kevin Holland
Jamahal Hill
Sumudaerji
Michael Chandler
Movsar Evloev
Sean Strickland
Chris Daukaus
Kyler Phillips
Sean Brady
Tom Aspinall
