fighter,pearson
Alex Oliveira,-0.024926808690702806
Thomas Almeida,0.16168227963813997
Jimmy Crute,-0.13030081271519878
Mateusz Gamrot,nan
Junyong Park,-0.07755513900711081
Claudio Silva,0.13619292442293335
Brian Ortega,-0.15023603248325257
Gadzhimurad Antigulov,0.24626376519255364
Said Nurmagomedov,-0.032891403975303865
Jamie Mullarkey,-0.04427276760143014
Tom Breese,0.22154047943666572
Chris Daukaus,-0.05273134514970985
Markus Perez,-0.0845575938347658
Ben Rothwell,-0.029928752630416514
Youssef Zalal,-0.03198993724680628
Tom Aspinall,-0.04140391432146259
Edson Barboza,0.2899430913471731
Impa Kasanganay,-0.06446970630133687
Ali AlQaisi,-0.032345022024258104
Tracy Cortez,nan
Dequan Townsend,-0.07316740286683278
Germaine de Randamie,nan
Kyler Phillips,-0.023021868121512374
Holly Holm,nan
Yorgan De Castro,-0.06894239390462459
Jordan Williams,nan
Loma Lookboonmee,nan
Casey Kenney,-0.01745098553501863
Luigi Vendramini,-0.08233209235505429
Israel Adesanya,-0.13781694496383334
Kai Kara-France,-0.02312119230786699
Shane Young,0.044716020598613716
Diego Sanchez,-0.11582323207842814
Brad Riddell,-0.04893856992405924
Dominick Reyes,-0.1325376160341098
Hakeem Dawodu,-0.04108386921473901
William Knight,0.11592370242450434
Khadis Ibragimov,-0.09465568639627651
Juan Espino,0.024166684815216118
Johnny Walker,-0.08703122332713749
Mirsad Bektic,0.14869371895863628
Colby Covington,-0.1366470210987481
Khamzat Chimaev,-0.06177574776771312
Donald Cerrone,-0.16927663534437712
Jessica-Rose Clark,nan
Darrick Minner,-0.08873288079592843
Journey Newson,-0.07354560864272197
Mayra Bueno Silva,nan
Tyson Nam,-0.02264955898431821
Roosevelt Roberts,-0.051844029220542
Billy Quarantillo,-0.05247543149238283
Julia Avila,nan
Michelle Waterson,nan
Ed Herman,-0.1283146710298566
Ottman Azaitar,0.004460116842858013
Brok Weaver,-0.04402651984858187
Bryan Barberena,-0.1289536518391629
Sabina Mazo,nan
Brian Kelleher,-0.029041373343973456
Viviane Araujo,nan
Andre Muniz,-0.02209598158307794
Cole Smith,-0.05971286877003487
Alessio Di Chirico,-0.047447529710051256
Ricardo Lamas,0.5468084313021
Ji Yeon Kim,nan
Mallory Martin,nan
Carlton Minus,-0.03854496488552009
Marcin Prachnio,-0.021860033891054724
Amanda Lemos,nan
Mariya Agapova,nan
Austin Hubbard,-0.045026819410800736
Herbert Burns,-0.027568149573173592
Felice Herrig,nan
Sean O'Malley,-0.03403740996556731
John Dodson,0.09855742133996817
Stipe Miocic,0.14702448638231272
TJ Brown,0.06905386831553414
Jim Miller,0.16784555964628445
Kai Kamaka,-0.03985158052492078
Tim Means,0.10065917154892302
Derrick Lewis,0.028488217469645777
Yana Kunitskaya,nan
Beneil Dariush,-0.18621188594626292
Irwin Rivera,-0.03712042587183653
Joanne Calderwood,nan
Johnny Munoz,0.050772739676314564
Frankie Saenz,0.16279159049773084
Jamall Emmers,-0.05099342456569919
Vicente Luque,-0.06249175071406619
Chris Gutierrez,-0.05055389047979787
Lando Vannata,-0.08013633091818939
Francisco Trinaldo,-0.062351648795698836
Carla Esparza,nan
Paul Craig,-0.17592294630921607
Fabricio Werdum,0.42092497485662267
Nicolas Dalby,-0.038911148606772764
Tanner Boser,-0.07760361555604472
Movsar Evloev,-0.04212999664928077
Ramazan Emeev,-0.12730780551883972
Bethe Correia,nan
Marc Diakiese,0.08330210065194903
Grant Dawson,-0.02547581827387389
Malcolm Gordon,0.010602989375924004
Brett Johns,0.0038865848248328806
Davi Ramos,0.09243144811243129
Modestas Bukauskas,-0.07699913366040284
Ricardo Ramos,-0.0033741336830426815
Calvin Kattar,-0.05875747820435705
Diana Belbita,nan
Jack Shore,-0.04796651671174149
Jessica Andrade,nan
Makwan Amirkhani,-0.05920126014209786
Volkan Oezdemir,0.14238191743135026
Elizeu Zaleski dos Santos,-0.09442157422924416
Alexander Volkanovski,-0.0745851926020062
Amanda Ribas,nan
Luis Pena,-0.08418746849762299
Sean Woodson,-0.06382059657045833
Takashi Sato,-0.08682940522985398
Jordan Griffin,0.04648648460387425
Marc-Andre Barriault,-0.09963170803054089
Josh Emmett,-0.10891073090495665
Raquel Pennington,nan
Andre Fili,-0.17729820260565432
Merab Dvalishvili,-0.03135447046745357
Anthony Ivy,0.04226653412022374
Cody Stamann,-0.03325664244663507
Aljamain Sterling,-0.01109482110523722
Neil Magny,-0.09037299006449179
Charles Byrd,0.06396533221360351
Evan Dunham,0.746841894673745
Jussier Formiga,0.04998686389971093
Jamahal Hill,-0.04885820747624538
Tyron Woodley,-0.12453733014044124
Anthony Hernandez,0.2039668150627708
Matt Brown,0.23426101497255036
Rodrigo Nascimento,0.014914098702195271
Hunter Azure,0.10517399580049976
Chase Sherman,0.17988257181265782
Jeremy Stephens,-0.4454914284426045
Francis Ngannou,-0.06229773741472287
Henry Cejudo,-0.055403344770183015
Greg Hardy,0.019334336958865987
Ryan Spann,-0.11300018659010047
Demian Maia,-0.007351604824987777
Mark Madsen,-0.16772304515540798
Batgerel Danaa,-0.02987090958184817
Gerald Meerschaert,-0.14370543147599169
Ion Cutelaba,-0.028660649896476514
Felicia Spencer,nan
Gabriel Silva,0.011982706803862382
Megan Anderson,nan
Aalon Cruz,-0.058134038933078946
Jalin Turner,-0.053274890387281414
Karolina Kowalkiewicz,nan
Ben Sosoli,-0.0567365810268283
Kevin Aguilar,0.013739745648957821
Jake Matthews,0.6229680225095592
Callan Potter,0.40226194346597655
Priscila Cachoeira,nan
Corey Anderson,0.14530708524538138
Devin Clark,0.11682215515124819
Mark De La Rosa,0.09238246231398929
Macy Chiasson,nan
Juan Adams,-0.13629002953485425
Jon Jones,0.030011303463185077
Domingo Pilarte,-0.02168491090909946
Austin Lingo,-0.025009008290196356
Justine Kish,nan
Bevon Lewis,-0.05927868480912345
Arnold Allen,-0.052868882541938104
Sara McMann,nan
Hannah Cifers,nan
Conor McGregor,-0.053169164711669326
Drew Dober,-0.1873763593465483
Aleksa Camur,-0.06766302618792004
Dooho Choi,-0.2139782001088176
Frankie Edgar,-0.22320261868864053
Dong Hyun Ma,-0.12375253004856165
Heili Alateng,-0.015191645782523373
Geoff Neal,-0.06614559098995199
Aspen Ladd,nan
Thiago Alves,-0.2504850466916972
Joe Solecki,-0.0718013081438868
Virna Jandiroba,nan
Sergio Moraes,0.3035235543991823
Charles Oliveira,-0.19030553735843955
Antonio Arroyo,-0.024283467354277027
Vanessa Melo,nan
Zelim Imadaev,-0.07488908140702626
Rustam Khabilov,0.2798211193618092
Zabit Magomedsharipov,-0.010905338729212904
Abubakar Nurmagomedov,-0.04758384036192442
Alexander Yakovlev,-0.05769327288520158
Grigory Popov,-0.0227772851819317
Lyman Good,0.07605994747282321
Enrique Barzola,0.14902579664114882
Joe Lauzon,0.5834073785824312
Randy Costa,-0.07759329686390419
Kyle Bochniak,-0.11989270086743942
Matt Frevola,-0.04785674340170347
Niko Price,0.007225286193059115
Marlon Vera,-0.026510721441670552
Marvin Vettori,-0.14284752599685466
JJ Aldrich,nan
Al Iaquinta,-0.058883229984381905
Khalid Taha,-0.007791675358284733
Nadia Kassem,nan
Michal Oleksiejczuk,-0.0855772958368207
Gunnar Nelson,0.3386060629100629
Brandon Davis,-0.13781625131491268
Jose Quinonez,0.01861694735439042
Ariane Carnelossi,nan
Marco Polo Reyes,0.21902254873421895
