fighter,pearson
Jimmy Crute,-0.1278140284930972
Mateusz Gamrot,nan
Junyong Park,-0.07069995321560815
Claudio Silva,-0.054858752936969284
Brian Ortega,-0.2024772341131133
Gadzhimurad Antigulov,0.12906891665741368
Said Nurmagomedov,-0.11486341368978764
Jamie Mullarkey,-0.06247899940060246
Tom Breese,-0.07815069612216857
Chris Daukaus,-0.058927363047453225
Markus Perez,-0.10010391813647965
Ben Rothwell,0.0359206446499343
Youssef Zalal,-0.08093396714888323
Tom Aspinall,-0.044849697607654386
Edson Barboza,0.24206369274319742
Impa Kasanganay,-0.0551948936969418
Ali AlQaisi,-0.05318501750369743
Tracy Cortez,nan
Dequan Townsend,-0.06926135667859162
Germaine de Randamie,nan
Kyler Phillips,-0.05907688553906467
Holly Holm,nan
Yorgan De Castro,-0.0905475721409267
Jordan Williams,nan
Loma Lookboonmee,nan
Casey Kenney,-0.08166654808464932
Luigi Vendramini,nan
Israel Adesanya,-0.1701440180493851
Kai Kara-France,-0.11826203097097948
Shane Young,0.1365487424151314
Diego Sanchez,0.012955279470463101
Brad Riddell,-0.09071895389960868
Dominick Reyes,-0.12309071996823626
Hakeem Dawodu,-0.12074589460639597
William Knight,nan
Khadis Ibragimov,-0.10868796273177528
Juan Espino,-0.02393539969825953
Johnny Walker,-0.05467074815951921
Mirsad Bektic,0.30262291191952295
Colby Covington,-0.25230852441977164
Khamzat Chimaev,-0.0491680038579239
Donald Cerrone,-0.08633649383481568
Jessica-Rose Clark,nan
Darrick Minner,-0.08774385186139147
Journey Newson,-0.10533926264749469
Mayra Bueno Silva,nan
Tyson Nam,-0.08347253621875941
Roosevelt Roberts,-0.05890444081862288
Billy Quarantillo,-0.0747973972887292
Julia Avila,nan
Michelle Waterson,nan
Ed Herman,0.11052122847649752
Ottman Azaitar,0.0034600534015200588
Brok Weaver,-0.060612001460641406
Bryan Barberena,-0.03824285220299575
Sabina Mazo,nan
Brian Kelleher,-0.07564307776687727
Viviane Araujo,nan
Andre Muniz,-0.039738063169296435
Cole Smith,-0.17298954746128903
Alessio Di Chirico,-0.1115168727603503
Ricardo Lamas,0.5594229852921684
Ji Yeon Kim,nan
Mallory Martin,nan
Carlton Minus,-0.040519459595423434
Marcin Prachnio,-0.011699730989813115
Amanda Lemos,nan
Mariya Agapova,nan
Austin Hubbard,-0.0806904078318235
Herbert Burns,-0.06872450481715422
Felice Herrig,nan
Sean O'Malley,-0.055662897962867455
John Dodson,0.39242627365063876
Stipe Miocic,-0.17903011659903806
TJ Brown,0.13778777392215777
Jim Miller,-0.06129724628637026
Kai Kamaka,-0.0739252355640441
Tim Means,0.20698210620833135
Derrick Lewis,-0.04606276866191503
Yana Kunitskaya,nan
Beneil Dariush,-0.1548273497377309
Irwin Rivera,-0.06207274638271991
Joanne Calderwood,nan
Johnny Munoz,nan
Frankie Saenz,0.14110766728420723
Jamall Emmers,-0.07480893670019528
Vicente Luque,-0.11973821114548945
Chris Gutierrez,-0.05947034685875845
Lando Vannata,0.4969050143394871
Francisco Trinaldo,-0.02083448359038624
Carla Esparza,nan
Paul Craig,-0.1550234444606769
Fabricio Werdum,-0.15112276553800155
Nicolas Dalby,-0.07254709578943325
Tanner Boser,-0.11037036132092028
Movsar Evloev,-0.0851992815966909
Ramazan Emeev,-0.051023529814996506
Bethe Correia,nan
Marc Diakiese,0.2591803080442205
Grant Dawson,-0.02254766439936967
Malcolm Gordon,0.01689404870027903
Brett Johns,0.07428342804927351
Davi Ramos,0.183281001739731
Modestas Bukauskas,-0.08728366211014793
Ricardo Ramos,-0.06486363211517518
Calvin Kattar,-0.10993628863150287
Diana Belbita,nan
Jack Shore,-0.09738159343499421
Jessica Andrade,nan
Makwan Amirkhani,0.19358329242847372
Volkan Oezdemir,0.14777402426946443
Elizeu Zaleski dos Santos,-0.12308505935478042
Alexander Volkanovski,-0.1477808204715093
Amanda Ribas,nan
Luis Pena,-0.116339819739527
Sean Woodson,-0.08571511821213153
Takashi Sato,-0.14030582568280586
Jordan Griffin,0.10971583083966195
Marc-Andre Barriault,-0.09709023162368671
Josh Emmett,-0.09579202128757056
Raquel Pennington,nan
Andre Fili,0.2270109880162455
Merab Dvalishvili,-0.0940462143781875
Anthony Ivy,0.044289588882779424
Cody Stamann,-0.05264729319464162
Aljamain Sterling,-0.10060664237384478
Neil Magny,0.0916332458346007
Charles Byrd,0.047216311971457356
Evan Dunham,0.469870999040434
Jussier Formiga,0.07663481950460593
Jamahal Hill,-0.043843218188195865
Tyron Woodley,-0.0881078313026325
Anthony Hernandez,0.16593953598384542
Matt Brown,-0.2706997702072992
Rodrigo Nascimento,0.0164306636849877
Hunter Azure,0.24006276390662368
Chase Sherman,0.14654853797199996
Jeremy Stephens,-0.22367627909550325
Francis Ngannou,-0.1584121662227148
Henry Cejudo,-0.19520801489125592
Greg Hardy,0.037530750573377646
Ryan Spann,-0.09168366307255658
Demian Maia,0.3085084140248968
Mark Madsen,-0.3005648261370238
Batgerel Danaa,-0.10104517098079718
Gerald Meerschaert,-0.10439071935998748
Ion Cutelaba,-0.1280185943344755
Felicia Spencer,nan
Gabriel Silva,0.05145285231868687
Megan Anderson,nan
Aalon Cruz,-0.03257658006736399
Jalin Turner,-0.07336352902933987
Karolina Kowalkiewicz,nan
Ben Sosoli,-0.05381231830476929
Kevin Aguilar,0.0672008212581383
Jake Matthews,0.6796671520969069
Callan Potter,0.4936217753534491
Priscila Cachoeira,nan
Corey Anderson,0.17245553158531882
Devin Clark,0.09733834885619012
Mark De La Rosa,0.2124348432138448
Macy Chiasson,nan
Juan Adams,-0.19419271459357415
Jon Jones,-0.4077087024465087
Domingo Pilarte,0.03490407289070384
Austin Lingo,-0.032817463061472346
Justine Kish,nan
Bevon Lewis,0.0940652111960442
Arnold Allen,-0.11221086265870486
Sara McMann,nan
Hannah Cifers,nan
Conor McGregor,-0.15580872428507767
Drew Dober,-0.19863363653435323
Aleksa Camur,-0.06845358841615307
Dooho Choi,0.04509041112518648
Frankie Edgar,0.2065532993281526
Dong Hyun Ma,-0.10541761993461433
Heili Alateng,-0.04141127011532175
Geoff Neal,-0.12411454486457738
Aspen Ladd,nan
Thiago Alves,-0.2520467541464517
Joe Solecki,-0.07948106522559134
Virna Jandiroba,nan
Sergio Moraes,0.2105444100099178
Charles Oliveira,-0.22934856789344593
Antonio Arroyo,-0.03447010435140352
Vanessa Melo,nan
Zelim Imadaev,-0.10701050255422268
Rustam Khabilov,0.5294203711094967
Zabit Magomedsharipov,-0.1351882731177994
Abubakar Nurmagomedov,nan
Alexander Yakovlev,-0.05750857899938123
Grigory Popov,0.013209037617815528
Lyman Good,0.05498423079908691
Enrique Barzola,0.4554850440845222
Joe Lauzon,0.1267484125245494
Randy Costa,-0.13854234436502583
Kyle Bochniak,-0.08495026921378929
Matt Frevola,-0.08121648391742525
Niko Price,0.019327519613911888
Marlon Vera,-0.12399650998657759
Marvin Vettori,-0.12175242761677788
JJ Aldrich,nan
Al Iaquinta,-0.06198112264577452
Khalid Taha,-0.10370677895833792
Nadia Kassem,nan
Michal Oleksiejczuk,-0.06627711722027413
Gunnar Nelson,0.2517761530317114
Brandon Davis,-0.20981471990048584
Jose Quinonez,-0.013330646762304088
Ariane Carnelossi,nan
Marco Polo Reyes,0.5448543722354062
Irene Aldana,nan
Vinicius Moreira,0.11280897145666753
Claudio Puelles,-0.026273949064399716
Sergio Pettis,0.247858950826002
Glover Teixeira,0.181870186634771
Todd Duffee,-0.1806273794890591
Kyle Prepolec,-0.11190410747689106
Chas Skelly,0.2347396835223991
Don Madge,-0.02134476559521329
Nordine Taleb,0.4219008683655743
Li Jingliang,-0.18187479391105388
Damir Ismagulov,-0.10159731906107174
Yoel Romero,-0.17135382944950892
Daniel Cormier,0.27132031882524116
Manny Bermudez,0.18355826248401225
Eduardo Garagorri,-0.08372012450981896
Kazula Vargas,-0.06600329179588847
Joaquim Silva,0.033706310443778545
Scott Holtzman,0.136013289048711
Darko Stosic,0.1190581450438424
